id,name,dates,organization,start_date,end_date
37,C Language Summer Session 2,"[""2025-06-22"",""2025-06-23"",""2025-06-24"",""2025-06-25"",""2025-06-26""]",2,2025-06-22,2025-06-26
38,Javascript Spring Session 4,"[""2025-03-14"",""2025-03-21"",""2025-03-28"",""2025-04-04"",""2025-04-18"",""2025-04-18""]",2,2025-03-14,2025-04-18
39,Roblox Game Design Spring Session 4,"[""2025-03-14"",""2025-03-21"",""2025-03-28"",""2025-04-04"",""2025-04-18"",""2025-04-25""]",2,2025-03-14,2025-04-25
40,Javascript Summer Session 2,"[""2025-06-22"",""2025-06-23"",""2025-06-24"",""2025-06-25"",""2025-06-26""]",2,2025-06-22,2025-06-26
41,Javascript Spring Session 3,"[""2025-03-11"",""2025-03-18"",""2025-03-25"",""2025-04-01"",""2025-04-15"",""2025-04-22""]",2,2025-03-11,2025-04-22
42,Scratch Spring Session 4,"[""2025-03-14"",""2025-03-21"",""2025-03-28"",""2025-04-04"",""2025-04-18"",""2025-04-25""]",2,2025-03-14,2025-04-25
43,Python Spring Session 4,"[""2025-03-14"",""2025-03-21"",""2025-03-28"",""2025-04-04"",""2025-04-18"",""2025-04-25""]",2,2025-03-14,2025-04-25
44,Scratch Spring Session 3,"[""2025-03-11"",""2025-03-18"",""2025-03-25"",""2025-04-01"",""2025-04-15"",""2025-04-22""]",2,2025-03-11,2025-04-22
45,Python Summer Session 2,"[""2025-06-22"",""2025-06-23"",""2025-06-24"",""2025-06-25"",""2025-06-26""]",2,2025-06-22,2025-06-26
46,Java Summer Session 2,"[""2025-06-22"",""2025-06-23"",""2025-06-24"",""2025-06-25"",""2025-06-26""]",2,2025-06-22,2025-06-26
47,Python Spring Session 3,"[""2025-03-11"",""2025-03-18"",""2025-03-25"",""2025-04-01"",""2025-04-15"",""2025-04-22""]",2,2025-03-11,2025-04-22
48,Scratch Summer Session 2,"[""2025-06-22"",""2025-06-23"",""2025-06-24"",""2025-06-25"",""2025-06-26""]",2,2025-06-22,2025-06-26
49,Python Fall Session 4,"[""2024-10-18"",""2024-10-25"",""2024-11-01"",""2024-11-08"",""2024-11-15"",""2024-11-22""]",2,2024-10-18,2024-11-22
50,Javascript Spring Session 2,"[""2025-01-10"",""2025-01-17"",""2025-01-24"",""2025-01-31"",""2025-02-07"",""2025-02-14""]",2,2025-01-10,2025-02-14
51,Scratch Fall Session 1,"[""2024-09-03"",""2024-09-10"",""2024-09-17"",""2024-09-24"",""2024-10-01"",""2024-10-08""]",2,2024-09-03,2024-10-08
52,Roblox Game Design Fall Session 4,"[""2024-10-18"",""2024-10-25"",""2024-11-01"",""2024-11-08"",""2024-11-15"",""2024-11-22""]",2,2024-10-18,2024-11-22
53,Scratch Spring Session 2,"[""2025-01-10"",""2025-01-17"",""2025-01-24"",""2025-01-31"",""2025-02-07"",""2025-02-14""]",2,2025-01-10,2025-02-14
54,Python Game Design Spring Session 2,"[""2025-01-10"",""2025-01-17"",""2025-01-24"",""2025-01-31"",""2025-02-07"",""2025-02-14""]",2,2025-01-10,2025-02-14
55,Javascript Fall Session 1,"[""2024-09-03"",""2024-09-10"",""2024-09-17"",""2024-09-24"",""2024-10-01"",""2024-10-08""]",2,2024-09-03,2024-10-08
56,Python Fall Session 1,"[""2024-09-03"",""2024-09-10"",""2024-09-17"",""2024-09-24"",""2024-10-01"",""2024-10-08""]",2,2024-09-03,2024-10-08
57,Python Fall Session 2,"[""2024-09-06"",""2024-09-13"",""2024-09-20"",""2024-09-27"",""2024-10-04"",""2024-10-11""]",2,2024-09-06,2024-10-11
58,Scratch Spring Session 1,"[""2025-01-07"",""2025-01-14"",""2025-01-21"",""2025-01-28"",""2025-02-04"",""2025-02-11""]",2,2025-01-07,2025-02-11
59,Javascript Fall Session 4,"[""2024-10-18"",""2024-10-25"",""2024-11-01"",""2024-11-08"",""2024-11-15"",""2024-11-22""]",2,2024-10-18,2024-11-22
60,Minecraft Spring Session 2,"[""2025-01-10"",""2025-01-17"",""2025-01-24"",""2025-01-31"",""2025-02-07"",""2025-02-14""]",2,2025-01-10,2025-02-14
61,JavaScript Spring Session 1,"[""2025-01-07"",""2025-01-14"",""2025-01-21"",""2025-01-28"",""2025-02-04"",""2025-02-11""]",2,2025-01-07,2025-02-11
62,Scratch Fall Session 4,"[""2024-10-18"",""2024-10-25"",""2024-11-01"",""2024-11-08"",""2024-11-15"",""2024-11-22""]",2,2024-10-18,2024-11-22
63,C Language Christmas Session,"[""2024-12-29"",""2024-12-30"",""2024-12-31"",""2025-01-01"",""2025-01-02""]",2,2024-12-29,2025-01-02
64,Minecraft Fall Session 2,"[""2024-09-06"",""2024-09-13"",""2024-09-20"",""2024-09-27"",""2024-10-04"",""2024-10-11""]",2,2024-09-06,2024-10-11
65,Python Spring Session 1,"[""2025-01-07"",""2025-01-14"",""2025-01-21"",""2025-01-28"",""2025-02-04"",""2025-02-11""]",2,2025-01-07,2025-02-11
66,Scratch Fall Session 2,"[""2024-09-06"",""2024-09-13"",""2024-09-20"",""2024-09-27"",""2024-10-04"",""2024-10-11""]",2,2024-09-06,2024-10-11
67,Python Spring Session 2,"[""2025-01-10"",""2025-01-17"",""2025-01-24"",""2025-01-31"",""2025-02-07"",""2025-02-14""]",2,2025-01-10,2025-02-14
68,Javascript Fall Session 3,"[""2024-10-15"",""2024-10-22"",""2024-10-29"",""2024-11-05"",""2024-11-12"",""2024-11-19""]",2,2024-10-15,2024-11-19
69,Scratch Fall Session 3,"[""2024-10-15"",""2024-10-22"",""2024-10-29"",""2024-11-05"",""2024-11-12"",""2024-11-19""]",2,2024-10-15,2024-11-19
70,Javascript Fall Session 2,"[""2024-09-06"",""2024-09-13"",""2024-09-20"",""2024-09-27"",""2024-10-04"",""2024-10-11""]",2,2024-09-06,2024-10-11
71,Python Fall Session 3,"[""2024-10-15"",""2024-10-22"",""2024-10-29"",""2024-11-05"",""2024-11-12"",""2024-11-19""]",2,2024-10-15,2024-11-19
